BusinessProcessName,Level,TextDe,TextFr,TextIt,TaxonomyName
fpbpgHaltungNutztiere_BP1,2,Abgesetzte Ferkel,Porcelets sevrés,Suinetti svezzati,fpbpgHaltungNutztiere_BP1fpg12SchweineAbgesetzteFerkel
fpbpgHaltungNutztiere_BP1,2,Mastschweine, Remonten,Porcs à l'engrais, remontes d'élevage,Suini da ingrasso, suini da rimonta,fpbpgHaltungNutztiere_BP1fpg12SchweineMastschweine,Remonten
fpbpgHaltungNutztiere_BP1,1,Geflügel,Volaille,Volatili,fpbpgHaltungNutztiere_BP1fpg12Geflügel
fpbpgHaltungNutztiere_BP1,2,Legehennen / Elterntiere,Poules pondeuses / poules et coqs d'élevage,Galline ovaiole / galline e galli da allevamento,fpbpgHaltungNutztiere_BP1fpg12GeflügelLegehennen/Elterntiere
fpbpgHaltungNutztiere_BP1,2,Jungtiere ab 70 Tagen,Poulettes dès le 70e jour de vie,Pollastrelle dal 70° giorno di vita,fpbpgHaltungNutztiere_BP1fpg12GeflügelJungtiereab70Tagen
fpbpgHaltungNutztiere_BP1,2,Küken bis 70 Tage,Poussins jusqu'au 70e jour de vie,Pulcini fino al 70° giorno di vita,fpbpgHaltungNutztiere_BP1fpg12GeflügelKükenbis70Tage
fpbpgHaltungNutztiere_BP1,2,Pouletmast,Poulets de chair de tout âge,Polli da ingrasso,fpbpgHaltungNutztiere_BP1fpg12GeflügelPouletmast
fpbpgHaltungNutztiere_BP1,2,Trutenmast,Dindes à l'engrais,Tacchini da ingrasso,fpbpgHaltungNutztiere_BP1fpg12GeflügelTrutenmast
fpbpgHaltungNutztiere_BP1,1,Schafe,Ovins,Ovini,fpbpgHaltungNutztiere_BP1fpg12Schafe
fpbpgHaltungNutztiere_BP1,2,Lämmer,Agneaux,Agnelli,fpbpgHaltungNutztiere_BP1fpg12SchafeLämmer
fpbpgHaltungNutztiere_BP1,2,Mastlämmer und Jungtiere,Agneaux à l'engrais et antenais,Agnelli da ingrasso e animali giovani,fpbpgHaltungNutztiere_BP1fpg12SchafeMastlämmerundJungtiere
fpbpgHaltungNutztiere_BP1,2,Mutterschafe ohne Lämmer,Brebis sans agneaux,Pecore senza agnelli,fpbpgHaltungNutztiere_BP1fpg12SchafeMutterschafeohneLämmer
fpbpgHaltungNutztiere_BP1,2,Mutterschafe mit Lämmer,Brebis avec agneaux,Pecore con agnelli,fpbpgHaltungNutztiere_BP1fpg12SchafeMutterschafemitLämmer
fpbpgHaltungNutztiere_BP1,2,Widder,Bélier,Montoni,fpbpgHaltungNutztiere_BP1fpg12SchafeWidder
fpbpgHaltungNutztiere_BP1,1,Ziegen,Caprins,Caprini,fpbpgHaltungNutztiere_BP1fpg12Ziegen
fpbpgHaltungNutztiere_BP1,2,Zicklein ,Cabris,Capretti,fpbpgHaltungNutztiere_BP1fpg12ZiegenZicklein
fpbpgHaltungNutztiere_BP1,2,Jungziegen und Zwergziegen,Chevrettes et chèvres naines,Capre giovani e nane,fpbpgHaltungNutztiere_BP1fpg12ZiegenJungziegenundZwergziegen
fpbpgHaltungNutztiere_BP1,2,Ziegen,Chèvres,Capre,fpbpgHaltungNutztiere_BP1fpg12ZiegenZiegen
fpbpgHaltungNutztiere_BP1,2,Böcke,Boucs,Becchi,fpbpgHaltungNutztiere_BP1fpg12ZiegenBöcke
fpbpgHaltungNutztiere_BP1,1,Pferde,Chevaux,Equini,fpbpgHaltungNutztiere_BP1fpg12Pferde
fpbpgHaltungNutztiere_BP1,2,Zuchtstuten und Fohlen,Juments poulinières et poulains,Giumente d'allevamento e puledri,fpbpgHaltungNutztiere_BP1fpg12PferdeZuchtstutenundFohlen
fpbpgHaltungNutztiere_BP1,2,Jungpferde,Jeunes chevaux,Cavalli giovani,fpbpgHaltungNutztiere_BP1fpg12PferdeJungpferde
fpbpgHaltungNutztiere_BP1,2,Andere Pferde,Autres chevaux,Altri cavalli,fpbpgHaltungNutztiere_BP1fpg12PferdeAnderePferde
fpbpgHaltungNutztiere_BP1,1,Neuweltkameliden,Camélidés du Nouveau-Monde,Camelidi del nuovo mondo,fpbpgHaltungNutztiere_BP1fpg12Neuweltkameliden
fpbpgHaltungNutztiere_BP1,2,Lamas,Lamas,Lama,fpbpgHaltungNutztiere_BP1fpg12NeuweltkamelidenLamas
fpbpgHaltungNutztiere_BP1,2,Alpakas,Alpagas,Alpaca,fpbpgHaltungNutztiere_BP1fpg12NeuweltkamelidenAlpakas
fpbpgHaltungNutztiere_BP1,1,Zucht Schalenwild,Gibier délevage à onglons,Allevamento di selvatici ungulati,fpbpgHaltungNutztiere_BP1fpg12ZuchtSchalenwild
fpbpgHaltungNutztiere_BP1,1,Kaninchen,Lapins,Conigli,fpbpgHaltungNutztiere_BP1fpg12Kaninchen
fpbpgHaltungNutztiere_BP1,2,Zibben,Lapines,Fattrici,fpbpgHaltungNutztiere_BP1fpg12KaninchenZibben
fpbpgHaltungNutztiere_BP1,2,Jungtiere,Lapereaux,Conigli giovani,fpbpgHaltungNutztiere_BP1fpg12KaninchenJungtiere
fpbpgHaltungNutztiere_BP1,2,Rammler,Lapins,Maschi riproduttori,fpbpgHaltungNutztiere_BP1fpg12KaninchenRammler
fpbpgHaltungNutztiere_BP1,1,Fische,Poissons,Pesci,fpbpgHaltungNutztiere_BP1fpg12Fische
fpbpgHaltungNutztiere_BP1,1,Bienen,Abeilles,Api,fpbpgHaltungNutztiere_BP1fpg12Bienen
fpbpgHaltungNutztiere_BP1,1,Bienen,,fpbpgHaltungNutztiere_BP1fpg12Bienen,
